nombre,url,formato,logo,estado,categoria
Canal de las estrellas,https://thundernet.streampool.net/10323/live/hls/canaldelasestrellashd/playlist.m3u8,m3u8,,1,Otros
AztecaCorazon,https://thundernet.streampool.net/10323/live/hls/aztecacorazon/playlist.m3u8,m3u8,,1,Entretenimiento
Novelisima,https://thundernet.streampool.net/10323/live/hls/novelisima/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/dd/ee/6c55-fea3-43d4-8e27-933a51b8e1d9.png,1,Otros
Kanal D Drama,https://thundernet.streampool.net/10323/live/hls/kanalddrama/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/e8/99/8fc0-6821-49c6-bb4e-c8710ec1b43a.png,1,Series y Novelas
Pasiones,https://thundernet.streampool.net/10323/live/hls/pasiones/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/55/07/340f-1270-4963-ab82-460c388bdbb8.png,1,Series y Novelas
E!,https://thundernet.streampool.net/10323/live/hls/canale/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/63/42/fae4-c062-4db3-8cda-b0e3c16495a7.png,1,Otros
Hola TV,https://thundernet.streampool.net/10323/live/hls/holatv/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/e1/48/382f-890b-4072-bf2a-47347923e982.png,1,Otros
Latin Angel,https://thundernet.streampool.net/10323/live/hls/latinangel/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/9a/a8/9829-1334-4ef1-b78c-3c8669a58a62.png,1,Otros
PlousTv,https://thundernet.streampool.net/10323/live/hls/ploustv/playlist.m3u8,m3u8,,1,Otros
OxigenoTV,https://thundernet.streampool.net/10323/live/hls/oxigenotv/playlist.m3u8,m3u8,,1,Entretenimiento
Show Bussiness,https://thundernet.streampool.net/10323/live/hls/showbusiness/playlist.m3u8,m3u8,,1,Entretenimiento
Realtor TV,https://thundernet.streampool.net/10323/live/hls/realtortv/playlist.m3u8,m3u8,,1,Entretenimiento
Azteca Clic,https://thundernet.streampool.net/10323/live/hls/aztecaclic/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/78/d2/2455-2d70-4b39-94e7-521b8c2cd2af.png,1,Entretenimiento
TLC HD,https://thundernet.streampool.net/10323/live/hls/tlchd/playlist.m3u8,m3u8,,1,Estilo de Vida
Maschic,https://thundernet.streampool.net/10323/live/hls/maschic/playlist.m3u8,m3u8,,1,Estilo de Vida
HGTV,https://thundernet.streampool.net/10323/live/hls/hgtvhd/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/a4/69/0514-160b-4afd-9d88-9849648a669c.png,1,Estilo de Vida
LifeTime,https://thundernet.streampool.net/10323/live/hls/lifetime/playlist.m3u8,m3u8,,1,Estilo de Vida
Food Network,https://thundernet.streampool.net/10323/live/hls/foodnetwork/playlist.m3u8,m3u8,,1,Estilo de Vida
